ID,Name0,Name1,Name2,Name3,Name4,Artist0,Artist1,Artist2,Artist3,Artist4,BPM0,BPM1,BPM2,BPM3,BPM4,ParentSongIndex,GameVersion,Channel,ActiveMode,SomeBoolean,Length,Padding1,Padding2,
FFFFFFFF,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,NO_STRING,4294967295,0,0,0,0,0,4294967295,4294967295,
1001,XTREE,엑스트리,XTREE,XTREE,XTREE,YAHPP,이 얍,YAHPP,YAHPP,YAHPP,190,190,190,190,190,4294967295,18,1,2,1,100,4294967295,4294967295,
1002,Sorceress Eliese,소서리스 엘리제,Sorceress Eliese,Sorceress Eliese,Sorceress Eliese,YAHPP,이 얍,YAHPP,YAHPP,YAHPP,158,158,158,158,158,4294967295,18,1,2,1,117,4294967295,4294967295,
1003,Betrayer -act.2-,사랑가 -2막-,Betrayer -act.2-,Betrayer -act.2-,Betrayer -act.2-,msgoon,엠.에스.군,msgoon,msgoon,msgoon,92,92,92,92,92,4294967295,18,1,2,1,115,4294967295,4294967295,
1004,Good Life,굿 라이프,Good Life,Good Life,Good Life,Drunken Tiger,드렁큰 타이거,Drunken Tiger,Drunken Tiger,Drunken Tiger,98.2,98.2,98.2,98.2,98.2,4294967295,18,2,2,1,110,4294967295,4294967295,
1005,Big Beat,빅 비트,Big Beat,Big Beat,Big Beat,NOW,나우,NOW,NOW,NOW,104,104,104,104,104,4294967295,18,2,2,1,118,4294967295,4294967295,
1006,Exciting,신나,Exciting,Exciting,Exciting,Dynamic Duo,다이나믹 듀오,Dynamic Duo,Dynamic Duo,Dynamic Duo,104,104,104,104,104,4294967295,18,2,2,1,102,4294967295,4294967295,
1007,By chance,우연,By chance,By chance,By chance,Baby V.O.X,베이비복스,Baby V.O.X,Baby V.O.X,Baby V.O.X,127,127,127,127,127,4294967295,18,2,2,1,115,4294967295,4294967295,
1008,U Got 2 Know,유 갓 투 노우,U Got 2 Know,U Got 2 Know,U Got 2 Know,MAX,맥스,MAX,MAX,MAX,127,127,127,127,127,4294967295,18,1,2,1,115,4294967295,4294967295,
1009,To the sky,하늘위로,To the sky,To the sky,To the sky,LEXY,렉시,LEXY,LEXY,LEXY,130,130,130,130,130,4294967295,18,2,2,1,104,4294967295,4294967295,
1010,The angel who lost wings,날개 잃은 천사,The angel who lost wings,The angel who lost wings,The angel who lost wings,Roo'Ra,룰라,Roo'Ra,Roo'Ra,Roo'Ra,135,135,135,135,135,4294967295,18,2,2,1,110,4294967295,4294967295,
1011,Innocent,순정,Innocent,Innocent,Innocent,koyote,코요태,koyote,koyote,koyote,137,137,137,137,137,4294967295,18,2,2,1,108,4294967295,4294967295,
1012,Enjoy! Enjoy!,노세 놀아보세,Enjoy! Enjoy!,Enjoy! Enjoy!,Enjoy! Enjoy!,Mu.Ga.Dang,무가당,Mu.Ga.Dang,Mu.Ga.Dang,Mu.Ga.Dang,138,138,138,138,138,4294967295,18,2,2,1,111,4294967295,4294967295,
1013,Destination,데스티네이션,Destination,Destination,Destination,SHK,SHK,SHK,SHK,SHK,150,150,150,150,150,4294967295,18,1,2,1,117,4294967295,4294967295,
1014,Twist King,트위스트 킹,Twist King,Twist King,Twist King,TURBO,터보,TURBO,TURBO,TURBO,156,156,156,156,156,4294967295,18,2,2,1,114,4294967295,4294967295,
1015,Fire,화이어,Fire,Fire,Fire,2NE1,2NE1,2NE1,2NE1,2NE1,126,126,126,126,126,4294967295,18,2,2,1,107,4294967295,4294967295,
1016,Wanna,워너,Wanna,Wanna,Wanna,Kara,카라,Kara,Kara,Kara,161,161,161,161,161,4294967295,18,2,2,1,101,4294967295,4294967295,
1017,Vacuum,진공,Vacuum,Vacuum,Vacuum,Doin,도인,Doin,Doin,Doin,200,200,200,200,200,4294967295,18,1,2,1,114,4294967295,4294967295,
1018,NARCISISTA POR EXCELENCIA,자아도취,NARCISISTA POR EXCELENCIA,NARCISISTA POR EXCELENCIA,NARCISISTA POR EXCELENCIA,PXNDX,판다,PXNDX,PXNDX,PXNDX,164,164,164,164,164,4294967295,18,3,2,1,104,4294967295,4294967295,
1019,No Rhyme No Reason ,노 라임 노 리즌,No Rhyme No Reason ,No Rhyme No Reason ,No Rhyme No Reason ,LTJ X-Perience ,엘티제이 엑스페리언스,LTJ X-Perience ,LTJ X-Perience ,LTJ X-Perience ,110,110,110,110,110,4294967295,18,3,2,1,93,4294967295,4294967295,
1020,80's pop,에이티스 팝,80's pop,80's pop,80's pop,Energy presents,에너지 프레센트,Energy presents,Energy presents,Energy presents,128,128,128,128,128,4294967295,18,3,2,1,104,4294967295,4294967295,
1021,Do It Reggae Style,두 잇 레게 스타일,Do It Reggae Style,Do It Reggae Style,Do It Reggae Style,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,96,96,96,96,96,4294967295,18,1,2,1,97,4294967295,4294967295,
1022,Xenesis,제네시스,Xenesis,Xenesis,Xenesis,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,152,152,152,152,152,4294967295,18,1,2,1,103,4294967295,4294967295,
1023,Arirang,아리랑,Arirang,Arirang,Arirang,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,160,160,160,160,160,4294967295,18,1,2,1,98,4294967295,4294967295,
1024,Tek -Club Copenhagen-,테크 -클럽 코펜하겐-,Tek -Club Copenhagen-,Tek -Club Copenhagen-,Tek -Club Copenhagen-,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,132,132,132,132,132,4294967295,18,1,2,1,96,4294967295,4294967295,
1025,Hello William,안녕 윌리엄,Hello William,Hello William,Hello William,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,170,170,170,170,170,4294967295,18,1,2,1,92,4294967295,4294967295,
